#;address;location;type;places;area;work_hours
1;Вул. Леваневського, в районі зооринку;48.468754, 35.003945;on_road_center;8;92,0;7.00 – 20.00, щоденно, крім понеділка
2;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 119;48.474488, 35.019190;on_road_center;13;149,5;7.00 – 20.00, щоденно
3;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 117 – 113 (від вул. Пастера до вул. Шмідта);48.474128, 35.021819;on_road_center;20;230;7.00 – 20.00, щоденно
4;Вул. Володимира Мономаха (вул. Московська), в районі буд. № № 2 – 4;48.466931, 35.046205;on_road_center;10;115;8.00 – 20.00, щоденно
5;Вул. Писаржевського (від вул. Чернишевського до вул. Паторжинського, ТРЦ «Нагорний»);48.451578, 35.058580;on_road_center;39;448,5;8.00 – 22.00, щоденно
6;Пл. Героїв Майдану, в районі буд. № 1;48.463840, 35.045393;on_road_center;20;230;8.00 – 20.00, щоденно
7;Вул. Курчатова, в районі буд. № 10 (автовокзал «Центральний»);48.474074, 35.008754;on_road_center;23;264,5;8.00 – 20.00, щоденно
8;Вул. Харківська від вул. Магдебурзького права (вул. Гопнер) до вул. Глинки;48.465467, 35.050053;on_road_center;20;230;8.00 – 21.00, щоденно
9;Узв. Ярмарковий (узв. Калініна), в районі буд. № 7 по вул. Курчатова;48.473110, 35.010167;on_road_center;24;276;7.00 – 20.00, щоденно
10;Вул. Глинки – вул. Харківська (район ТРК «Мост-Сіті-Центр»);48.465944, 35.050681;on_road_center;54;621;8.00 – 22.00, щоденно
11;Вул. Князя Володимира Великого (вул. Плеханова) (ТРК «Мост-Сіті-Центр», передмостова площа);48.467989, 35.050576;on_road_center;30;345;8.00 – 22.00, щоденно
12;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 60;48.467439, 35.041228;on_road_center;17;195,5;8.00 – 20.00, щоденно
13;Просп. Дмитра Яворницького (просп. Карла Маркса), 100 (від вул. Княгині Ольги (вул. Горького) до вул. Василя Чапленка (вул. Фрунзе);48.474386, 35.022900;on_road_center;12;138;8.00 – 20.00, щоденно
